,AvgQueueTimeCl,AvgQueueTime_SC,AvgTimeToGate,PaxCompleted_SC,PaxCompleted_Cl,NumMissedFlights,TotalExpenditure,AvgMaxPaxInQueueCl,MaxPaxInQueue_SC,Seed1,Gui,Timestep,EndTimeSimulation,Seed2,CheckInStrategy,SecurityCheckpointStrategy,CallToGateStrategy,ScaleCheckpointTime,Timeslot1,Timeslot2,Timeslot3,Timeslot4,Timeslot5,Timeslot6,Timeslot7,ActiveGate1,ActiveGate2,ActiveGate3,ActiveGate4,ActiveGate5,ActiveGate6,ActiveGate7,NumberPaxFlight1,NumberPaxFlight2,NumberPaxFlight3,NumberPaxFlight4,NumberPaxFlight5,NumberPaxFlight6,NumberPaxFlight7,MinimumOccupancy1,MinimumOccupancy2,MinimumOccupancy3,MinimumOccupancy4,MinimumOccupancy5,MinimumOccupancy6,MinimumOccupancy7
76,356.1020092540337,928.3921608250874,1487.008560469884,661.6536964980545,351.58365758754866,29.249027237354085,889.3813229571984,13.096303501945526,103.38132295719845,1649755525122.3774,0.0,100.0,12600.0,0.0,1.0,1.0,55.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,105.0,82.0,104.0,65.0,124.0,116.0,131.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
77,204.4509427913118,872.6612015229689,1396.5920262497348,691.62890625,367.07421875,27.4375,1311.23828125,10.59375,104.1328125,1649757715378.1797,0.0,100.0,12600.0,0.0,8.0,5.0,41.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,116.0,79.0,109.0,60.0,144.0,111.0,138.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
78,204.46624281661778,1051.7116957763778,1593.5182138966275,782.70703125,399.15234375,0.0,1249.8046875,11.728515625,183.0234375,1649759571391.0508,0.0,100.0,12600.0,0.0,2.0,3.0,42.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,112.0,133.0,131.0,64.0,141.0,116.0,128.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
79,538.2229607948318,705.9884723019982,1389.6319542046983,795.484375,404.953125,3.0,1066.43359375,18.779296875,137.7109375,1649453639559.8125,0.0,100.0,12600.0,0.0,1.0,15.0,53.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,123.0,128.0,136.0,58.0,140.0,143.0,114.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
80,240.37655473215565,1382.0262554422254,1890.5210434489677,672.1634241245137,382.58365758754866,77.19066147859922,1412.431906614786,11.397859922178988,164.06225680933852,1649761598334.9028,0.0,100.0,12600.0,0.0,3.0,1.0,30.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,107.0,134.0,138.0,56.0,104.0,140.0,110.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
81,204.1810116546366,1050.3223967589354,1540.78565453431,820.59765625,422.3203125,7.3203125,927.1640625,11.958984375,173.38671875,1649764039819.9492,0.0,100.0,12600.0,0.0,9.0,6.0,58.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,142.0,142.0,131.0,49.0,123.0,139.0,146.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
82,196.4200585166584,519.1460375652755,1050.1671755441387,688.7578125,348.84765625,0.0,1120.3515625,10.009765625,91.33203125,1649766125145.668,0.0,100.0,12600.0,0.0,2.0,6.0,50.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,98.0,139.0,88.0,60.0,109.0,97.0,135.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
83,119.84026005669017,376.81525997917595,954.5520978314023,470.671875,241.7265625,0.0,1069.66796875,5.78515625,44.62890625,1649767884888.9023,0.0,100.0,12600.0,0.0,2.0,4.0,30.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,74.0,78.0,78.0,50.0,77.0,96.0,117.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
84,270.67013918858356,406.77629991035116,966.8214289206903,595.0390625,302.4140625,0.0,877.30859375,10.0849609375,64.203125,1649769183968.9805,0.0,100.0,12600.0,0.0,1.0,6.0,56.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,80.0,77.0,88.0,87.0,104.0,111.0,80.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
85,286.8551240232629,1915.8110063107258,2149.4829759475288,677.16796875,438.9921875,187.46875,769.34765625,13.6728515625,254.95703125,1649770714826.3555,0.0,100.0,12600.0,0.0,5.0,1.0,59.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,149.0,126.0,136.0,81.0,134.0,145.0,140.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
86,699.0242531310917,1478.199673512474,1987.657629510401,673.7265625,407.484375,142.68359375,803.83203125,22.064453125,198.6328125,1649772819885.504,0.0,100.0,12600.0,0.0,1.0,1.0,58.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,142.0,144.0,83.0,69.0,146.0,144.0,132.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
87,223.01422381575497,1232.7635065757834,1745.4967566465236,670.3929961089494,375.73929961089493,69.07782101167315,1552.6070038910507,10.251945525291829,139.57587548638134,1649774921643.5486,0.0,100.0,12600.0,0.0,6.0,1.0,19.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,127.0,81.0,109.0,62.0,106.0,149.0,144.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
88,206.32520257045113,1025.0600673863248,1512.1008312680863,769.828793774319,393.4280155642023,0.13618677042801555,802.5447470817121,11.434824902723735,176.715953307393,1649777369406.2256,0.0,100.0,12600.0,0.0,2.0,3.0,58.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,134.0,141.0,97.0,54.0,140.0,134.0,112.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
89,197.50755411120755,931.4536443973207,1422.9418503051918,762.11328125,390.76171875,0.31640625,867.34375,10.8388671875,158.75390625,1649779835868.4258,0.0,100.0,12600.0,0.0,2.0,4.0,56.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,108.0,147.0,85.0,66.0,124.0,139.0,135.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
90,285.7282931810475,1800.7434377495658,2216.3796506745757,677.96484375,425.61328125,159.515625,1538.73046875,13.595703125,237.4453125,1649455598089.0938,0.0,100.0,12600.0,0.0,5.0,1.0,22.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,139.0,145.0,128.0,89.0,140.0,146.0,95.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
91,236.54229809790922,928.010447788706,1431.9259942934464,764.2890625,388.20703125,0.0,822.546875,10.9580078125,158.76953125,1649781769967.3398,0.0,100.0,12600.0,0.0,6.0,4.0,58.0,1.0,9000.0,9000.0,9300.0,9600.0,9900.0,11100.0,12000.0,6.0,1.0,7.0,9.0,4.0,2.0,5.0,147.0,85.0,110.0,73.0,104.0,144.0,143.0,74.0,74.0,74.0,48.0,74.0,74.0,74.0
